ID	USER	AGENT	INTENT	ENTITIES	SLOTS
	 ai fait	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['oui']	[]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}, {'payment_tool': 'cb'}, {'step': 'delivery'}]
					
conv1044	bonjour, client chez vous je souhaite faire plaisir à mon amie pour lui offrir womanity EAU de parfum spray, j'aimerai savoir si ce produit sera toujours rechargeable, merci de votre réponse, mon mail _Email1_. cdt	 le produit suivant est rechargeable : https://www.parfumsmoinscher.com/produit/13772-womanity.html < https://www.parfumsmoinscher.com/produit/13772-womanity.html >  celui ci est la recharge : https://www.parfumsmoinscher.com/produit/14192-womanity.html < https://www.parfumsmoinscher.com/produit/14192-womanity.html >	['ProductAvailable']	[{'present': 'offrir'}, {'article': 'womanity EAU de parfum spray'}, {'reload': 'rechargeable'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'womanity EAU de parfum spray'}, {'reload': 'yes'}]
	Merci de votre réponse bonne fin de journée à vous cdt	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'article': 'womanity EAU de parfum spray'}, {'reload': 'yes'}]
					
conv1060	 bonjour   hier nous avons reçu une commande ou un produit était casse et nous vous avons transmis un document de Chronopost attestant ce problème	 souhaitez vous le renvoi du produit Pour Un Homme de , eau De toilette spray 200 ml ou le remboursement ?	['damagedPackage']	[{'damaged': 'casse'}, {'transporter': 'Chronopost'}]	[{'Store name': 'Parfum moins cher'}]
	 le renvoi et si possible nous l'envoyer chez nous	 17 avenue _ZipCode1_ _City1_  est ce la bonne adresse ?	['damagedPackage']	[{'resend': 'renvoi'}, {'home': 'chez nous'}]	[{'Store name': 'Parfum moins cher'}, {'operation': 'resend'}, {'address': '17 avenue _ZipCode1_ _City1_'}]
	 ok l'adresse est bonne tel mob _Phone2_	 d'accord je procède au renvoi	['autre']	[{'phone': 'tel mob'}]	[{'Store name': 'Parfum moins cher'}, {'operation': 'resend'}, {'address': '17 avenue _ZipCode1_ _City1_'}]
	 Merci et bonne après midi	 voici votre nouveau numéro de commande : n°00  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks', 'goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'operation': 'resend'}, {'address': '17 avenue _ZipCode1_ _City1_'}]
					
conv1175	 J e vous ai précisé que je ne comprenais pas la différence de facturation qui, frais de transport compris est de 97,94€ et au final on me réclame 100,96€. Merci. je m'a fait livrer à mon domicile, je ne vois donc pas pourquoi sur le bon de commande les frais inclus sont arrêtés à un peu plus de 97€. j'ai commandé 2 articles. a vous lire. cordialement	 quel type de livraison avez vous sélectionné ?	['deliveryCost']	[{'billing': 'facturation'}, {'fdp': 'frais de transport'}, {'delivery': 'livrer'}, {'home': 'domicile'}, {'billing': 'bon de commande'}, {'fdp': 'frais inclus'}]	[{'Store name': 'Parfum moins cher'}, {'place': 'home'}]
	 domicile   je reste dans l'attente de votre réponse	 vous êtes bien connecté à votre compte client  voici le panier que nous avons  Azzaro Pour Homme réf : 10436517/149633 45,99 € 2 496 91,98 € Total produits : 91,98 € Total réductions : -5,00 € Total frais de port : 15,98 € Total : 102,96 €  c'est le bon prix	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'place': 'home'}]
					
conv1177	 : bonjour,   : _Email1_ j'ai une commande à valider, pourrais avoir la livraison offerte ?	 nous ne proposons pas de livraison gratuite actuellement sur ParfumsMoinsCher.com.	['deliveryCost']	[{'email': '_Email1_'}, {'delivery': 'livraison'}, {'free': 'offerte'}]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' free'}]
	 : d'accord, un code promo peut être ?	 un code de remise a déjà été enregistré dans votre panier Madame  de 10 euros  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['Discount']	[{'discount': 'code promo'}]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' free'}]
					
conv1185	 bonjour   quelqu'un est il la pour répondre ?	 oui je suis là  que puis je faire pour vous ?	['autre']	[]	[{'Store name': 'Parfum moins cher'}]
	 je pensais que les frais de livraison étaient offerts mais je ne trouve pas de code pour cela	 nous ne proposons pas les frais de port gratuits et j'en suis désolée  nos colis sont expédiés depuis les Etats-Unis	['deliveryCost']	[{'fdp': 'frais de livraison'}, {'free': 'offerts'}, {'discount': 'code'}]	[{'Store name': 'Parfum moins cher'}]
	 ah ok   merci	 avez vous d'autres questions ?	['thanks', 'oui']	[]	[{'Store name': 'Parfum moins cher'}]
	 non merci	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['non', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}]
					
conv1208	 bonjour _Email_1 mon panier est de 60,18 hors en poursuivant je dois 62,18 parfum insolence Guerlain - code promo +7,99 frais de port 60,182   _Email2_3   _Email1_ je suis mal voyante   hier même problème donc pas commandé5   maintenant le total TTC est monté à 64,88 ?	 êtes vous connecté à votre compte client ?	['WebsiteBug']	[{'basket': 'panier'}, {'article': 'insolence Guerlain'}, {'discount': 'code promo'}, {'email': '_Email1_'}, {'billing': 'total TTC'}]	[{'Store name': 'Parfum moins cher'}, {'operation': 'payment'}]
	 je vais le faire si je sors de la conversation cela coupera t il notre entretien	 normalement non et si c'était le cas veuillez nous solliciter à nouveau je vous prie	['CommuncationInterruption']	[]	[{'Store name': 'Parfum moins cher'}, {'operation': 'payment'}]
	 Ok j'essaies merci   : 9   : je dois appuyer ou sur la petite tête0   : je n'y arrive pas je sors du chat et y reviendrai si besoin1   : Merci	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['WebsiteBug', 'goodbye']	[{'channel': 'chat'}]	[{'Store name': 'Parfum moins cher'}, {'operation': 'payment'}]
					
conv1225	 c'est fait j'ai passée ma commande avec succès 🙂 je vous souhaite une bonne journée !	 j'en suis ravie et je vous en remercie !  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['rien', 'goodbye']	[]	[{'Store name': 'Parfum moins cher'}]
	 Merci beaucoup à bientôt ! 🌞	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}]
					
conv1309	bonjour Madame  ayant oublié mon numéro de passe, il m'a été proposé différents nouveaux n° mais aucun ne me permet de finaliser ma commande. comment faire ? Merci.	 je vais le réinitialiser  pouvez vous m'indiquer votre adresse mail ?	['Login']	[{'pwd': 'numéro de passe'}]	[{'Store name': 'Parfum moins cher'}]
	je ne trouve nulle part mon numéro de commande	 Merci de bien vouloir me donner votre adresse mail	['autre']	[]	[{'Store name': 'Parfum moins cher'}]
	_Email1_	 Merci  je vous invite à vous connecter à votre compte à l'aide du mot de passe : AZERTY	['autre']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}]
	Merci à vous et désolée mais j'ai eu du mal à me rappeler comme il fallait faire pour échanger toutes les deux.  je l'essaie et si problème je reviens vers vous.  cela a semble t il marché.  un grand merci à nouveau.	 je vous en prie  avez vous d'autres questions ?	['thanks', 'Login']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}]
	de belles fêtes de Noël et de fin d'année pour vous et vos proches.  non merci plus aucune question.	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée et de joyeuses fêtes de fin d'année	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}]
					
conv1315	_Name_2 : bonjour je voudrais savoir où se trouve ma commande   61	 je regarde, je vous demande un instant.  votre commande a bien été expédiée par nos services le 06 Juillet. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. je vous invite à suivre l'acheminement de votre colis :  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT03828105FR	['deliveryNews']	[{'order': '61'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '61'}]
	_Name_2 : est ce normal qui le est toujours pas parti de chez vous	 le colis a bien été expédié	['deliveryNews', 'AskDetails']	[{'store': 'chez vous'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '61'}, {'status': 'in deposit'}]
	 portant sur le lien il dise qui le est toujours chez vous	" comme nous l'indiquons dans l'email contenant le lien de suivi, le statut peut rester en "" "" envoi prêt chez l'expéditeur "" "" durant quelques jours sans que cela n'impacte la bonne livraison de votre colis. ceci est lié au fait que Chronopost ne propose pas de suivi aux Etats-unis ; vous pourrez constater une mise à jour du suivi à l'arrivée du colis sur le territoire français dans les prochains jours."	['AskDetails']	[{'store': 'chez vous'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '61'}, {'status': 'in deposit'}]
	_City1_  merci	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '61'}, {'status': 'in deposit'}]
					
conv1354	_City1_ : bonjour  _City1_ : je ne possède ps d portable, j'ai changé d'adresse après la vente de mon ancien appartement voulu par le propriétaire, demande de livraison en point relais notifié, mais impossible de régler ; j'annule tout ?	 un message d'erreur s'affiche t il sur votre écran ?	['PaymentRefused']	[{'device': 'portable'}, {'delivery': 'livraison'}, {'pr': 'point relais'}, {'payment': 'régler'}]	[{'Store name': 'Parfum moins cher'}, {'device': 'computer'}]
	_City1_: oui, cela me marque numéro de portable non valide, je n'en ai jamais eu, et ce n'est pas ma première commande, sauf mon adresse perso qui changé, mais je préfère le point relais	" je pense qu'il s'agit d'un souci avec l'envoi du code de validation par SMS requis par votre banque afin de valider le paiement.  je vous invite donc à contourner l'envoi de ce code en choisissant le second onglet appelé "" "" PayPal "" "" sur la page de paiement. vous pourrez ensuite saisir vos coordonnées de Carte bancaire afin de régler votre commande sans avoir nécessairement de compte PayPal."	['PaymentRefused']	[{'phone': 'numéro de portable'}, {'pr': 'point relais'}]	[{'Store name': 'Parfum moins cher'}, {'device': 'computer'}, {'error': 'yes'}, {'payment_tool': 'cb'}]
	_City1_ : je vais essayer et si cela ne fonctionne pas, tant pis, j'annule. Merci	 de rien, je suis à votre service. n'hésitez pas à revenir vers nous si cela ne fonctionnait pas.	['autre', 'CancelOrder']	"[{'cancel': ""j'annule""}]"	[{'Store name': 'Parfum moins cher'}, {'device': 'computer'}, {'error': 'yes'}, {'payment_tool': 'cb'}]
	_City1_ : OK.	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['autre']	[]	[{'Store name': 'Parfum moins cher'}, {'device': 'computer'}, {'error': 'yes'}, {'payment_tool': 'cb'}]
					
conv1376	c'est .  j'essaie de passer commande de 2 mais impossible de se connecter via FB. j'ai saisi également le formulaire qui est rejeté pour mot de passe incorrect alors que je crée un mot de passe. je vais devoir décrocher mais pouvez vous regarder ce que il se passe sur votre site et pourquoi ce blocage au lien FB je vous remercie	 pourriez vous m'indiquer votre adresse mail s'il vous plaît ?	['Login']	[{'facebook': 'FB'}, {'pwd': 'mot de passe'}]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}]
	_Email1_4  vous voudrez bien me tenir informée svp, je vais devoir décrocher. Merci beaucoup	 il vous faut créer un compte client sur notre site pour pouvoir commander Madame  https://www.parfumsmoinscher.com/ < https://www.parfumsmoinscher.com/ >	['AskConfirmation']	[]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'email': '_Email1_'}]
	je sais mais ça ne passe pas  je connais bien le fonctionnement : j'ai travaillé dans ce secteur. apparemment votre site dysfonctionnait quand j'ai voulu saisir.  je réessaierai plus tard	 je vous invite à revenir vers nous en cas de souci  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['WebsiteBug', 'goodbye']	[{'bug': 'dysfonctionnait'}, {'website': 'site'}]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'email': '_Email1_'}, {'account_connection': 'issue'}, {'operation': 'registration'}]
					
conv1391	 bonjour, j'ai reçu une commande mais il me manque un produit à l'intérieur, vais je le recevoir ? Merci	 je regarde, je vous demande un instant.	['missingItem']	[{'missing': 'manque'}]	[{'Store name': 'Parfum moins cher'}]
	 numéro de commande 00	 comme nous vous l'avons spécifié par email lors du traitement de votre commande, celle ci a été expédiée en deux colis. voici le lien du 2ème colis qui devrait vous être livré dans les prochains jours : http://www.chronopost.fr/expedier/inputLTNumbers.do?chronoNumbers=XU92394289FR	['rien']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1403	 bonjour quand va arriver ma commande commande 00 Merci	 je regarde, je vous demande un instant  votre commande a bien été expédiée par nos services le 05 . comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. votre colis devrait donc être remis dans le Point relais que vous avez choisi dans les prochains jours.	['deliveryNews']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'place': 'point-relais'}]
	 merci. je vais recevoir un sms pour me dire de venir la retirer ?	 oui un sms ou un mail	['ReceptionAlert']	[{'channel': 'sms'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'place': 'point-relais'}]
					
conv1420	bonjour  bonjour  bonjour pourquoi vous annonce l'_City2_ De parfum Lolita lempicka a 36 ; 99 pour 62 % de remise et en passant commande il y a que 50 %	 pour quelle contenance ?	['ProductPrice']	[{'article': 'Lolita Lempicka'}, {'discount': 'remise'}]	[{'Store name': 'Parfum moins cher'}]
	100ml  36.99 euros au lieu de 96.50 euros en 1ère 	" l'eau de parfum "" "" Lolita Lempicka "" "" 100ml est au prix de 46,99€"	['ProductPrice']	[{'size': '100ml'}]	[{'Store name': 'Parfum moins cher'}, {'complaint': 'bad add'}, {'article': 'Lolita Lempicka'}, {'price': '36.99'}, {'size': '100ml'}, {'add': 'yes'}]
	oui mais j'ai reçu un mail avec 62 % de réduction pour ( publicité ma  publicité mensongère, ?	 je vais transmettre l'information au service concerné	['CustomerComplaint']	[{'discount': 'réduction'}, {'add': 'publicité'}]	[{'Store name': 'Parfum moins cher'}, {'complaint': 'bad add'}, {'article': 'Lolita Lempicka'}, {'price': '36.99'}, {'size': '100ml'}, {'add': 'yes'}]
	et pourrez vous me _City1_	 c'est une publicité reçue directement de notre site ?  ou par un partenaire ?	['autre']	"[{""''"": ""''""}]"	[{'Store name': 'Parfum moins cher'}, {'complaint': 'bad add'}, {'article': 'Lolita Lempicka'}, {'price': '36.99'}, {'size': '100ml'}, {'add': 'yes'}]
	tenir informé je veux bien le prendre avec d autre produit mais au prix indiqué de6.99	 Merci de m'indiquer votre adresse mail  pouvez vous m'indiquer quand avez vous reçu cette publicité ?  pourriez vous m'envoyer par mail une copie de cette publicité ?  à l'adresse mail _Email1_ serviceclient.com	['purchase']	[]	[{'Store name': 'Parfum moins cher'}, {'complaint': 'bad add'}, {'article': 'Lolita Lempicka'}, {'price': '36.99'}, {'size': '100ml'}, {'add': 'yes'}]
					
conv1426	 bonjour je voudrai offrir le parfum que j'ai commandé dimanche 26 et je ne l'ai toujours pas reçu est ce que je l'Arai à temps ?2   _Email1_	 je regarde, je vous demande un instant.	['deliveryNews']	[{'present': 'offrir'}, {'article': 'parfum'}, {'date': 'dimanche 26'}, {'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '_Email1_'}]
	 pas de soucis	 votre commande a bien été expédiée par nos services le 13 Mai. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. je vous invite à suivre l'acheminement de votre colis depuis le lien suivant :  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT56326105FR	['oui']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '_Email1_'}]
	 j'ai regardé il m'informe en cours de traitement	" comme nous l'indiquons dans l'email contenant le lien de suivi, le statut peut rester en "" "" envoi prêt chez l'expéditeur "" "" durant quelques jours sans que cela n'impact la bonne livraison de votre colis. ceci est lié au fait que Chronopost ne propose pas de suivi aux Etats-Unis ; vous pourrez constater une mise à jour du suivi à l'arrivée du colis sur le territoire français dans les prochains jours."	['deliveryNews']	[{'status': 'en cours de traitement'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '_Email1_'}, {'status': 'in process'}]
	 Merci pour vos informations bonne journée	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '_Email1_'}, {'status': 'in process'}]
					
conv1439	bonjour je voudrais savoir si l'eau de toilette en 200ml pour un homme de chez a un emballage cadeau et combien de temps de livraison a domicile avec les frais de port	" les délais de livraison sont compris entre : - 7 et 10 jours ouvrés pour une livraison en point relais ( France métropolitaine uniquement - 10 et 14 jours ouvrés pour une livraison "" "" classique "" "" à domicile - 7 et 10 jours ouvrés pour une livraison "" "" express "" "" à domicile  je suis désolée mais à ce jour, le service paquet cadeau n'est pas disponible veuillez nous en excuser."	['deliveryTime', 'ProductAvailable']	[{'article': 'eau de toilette'}, {'size': '200ml'}, {'target': 'homme'}, {'present': 'cadeau'}, {'delivery': 'livraison'}, {'fdp': 'frais de port'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'present'}]
	merci mais il est quand même dans une boite cartonnée	 oui bien sur dans son emballage d'origine	['product', 'AskDetails']	[]	[{'Store name': 'Parfum moins cher'}, {'article': 'present'}]
	ok merci bien	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'article': 'present'}]
					
conv1459	 je viens d'envoyer à l'instant, sur le mail indiqué, les documents reçus avec ma commande.	 d'accord  une réponse vous sera donc envoyée par mail  votre dossier sera traité dans la journée Madame	['customer_service']	[{'channel': 'mail'}]	[{'Store name': 'Parfum moins cher'}]
	 merci.	 je vous en prie  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}]
					
conv1467	 bonjour j'ai choisi mes parfums prix 96,32 je fais étape suivante et la 102,31 alors que je n'ai pas encore choisi mon mode de livraison	 les frais de livraison sont calculés en fonction du nombre de produits commandés	['deliveryCost']	[{'article': 'parfums'}, {'delivery': 'livraison'}]	[{'Store name': 'Parfum moins cher'}]
	 bien expliquez moi le calcul	 les frais de port dépendent de l'option de livraison choisie et du nombre de produits commandés : - pour une livraison en point relais ( France métropolitaine uniquement ), il faut ainsi compter 7.99 € pour le premier article commandé, puis 5.99 € par produit supplémentaire ensuite. le délai de livraison avec cette option est compris entre 7 et 10 jours ouvrés. - pour une livraison à l'adresse de votre choix, il faut compter 9.99 € pour un produit, puis 5.99 € par article supplémentaire ensuite. le délai de livraison avec cette option est compris entre 10 et 14 jours ouvrés.	['deliveryCost']	[]	[{'Store name': 'Parfum moins cher'}]
	 j'ai beau faire tous les calculs je ne trouve pas 102, etc détaillez moi le calcul sachant que j'ai 2 articles et un code promo de - 4,654   1 parfum a 33,99 et 1 a 58,995   au relais	 92,98€ - 4,65€ ( réduction ) + 13,98€ ( frais de port ) = 102,31€	['deliveryCost']	[{'discount': 'code promo'}, {'pr': 'relais'}]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' details'}]
	 Ok merci je vais donc enregistrer votre conversation car toutes les commandes passées chez vous le prélèvement est toujours différents bonne journée	 il s'agit du détail que j'ai repris dans votre panier  je vois que vous avez choisi 2 produits pour un montant de 92,98€, vous avez bénéficié de 4,65€ de réduction et vous devez régler 13,98€ de frais de port pour les 2 produits	['CustomerComplaint', 'goodbye']	[{'billing': 'prélèvement'}]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' details'}]
					
conv1495	bonjour, je ne parviens pas à passer ma commande	 un message d'erreur s'affiche t il sur votre écran ?	['AccountIssue']	[]	[{'Store name': 'Parfum moins cher'}]
	bien que j'aie cliqué sur mot de passe oublié on ne me renvoie pas de mail de renouvellement	 pourriez vous m'indiquer votre adresse email s'il vous plaît ?	['AccountIssue']	[{'pwd': 'mot de passe'}, {'channel': 'mail'}]	[{'Store name': 'Parfum moins cher'}, {'pwd': 'forgotten'}, {'relog': 'yes'}]
	_Email1_	 je viens de réinitialiser votre mot de passe et vous invite donc à vous connecter avec l'adresse email : _Email1_ et le mot de passe : . vous pourrez bien entendu modifier ce dernier depuis votre espace client par la suite.	[]	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'pwd': 'forgotten'}, {'relog': 'yes'}, {'email': '_Email1_'}]
	j'essaie  merci	 de rien, je suis à votre service. avez vous d'autres questions ?	['oui', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'pwd': 'forgotten'}, {'relog': 'yes'}, {'email': '_Email1_'}]
					
conv1528	 bonjour, une question sur le fond de teint make up for ever fluide tenseur le coloris sable est il bien clair merci	 je suis à votre écoute, que puis je faire pour vous ?	['ProductTarget']	[{'article': 'fond de teint make up for ever fluide tenseur'}, {'color': 'sable'}, {'color': 'clair'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'fond de teint make up for ever fluide tenseur'}]
	 le coloris sable du fond de teint make up for ever fluide tenseur est il bien pour les peaux claires j'ai peur que coloris porcelaine ne fasse trop blanc   avez vous eu mes questions ?4   Merci	 j'effectue les recherches nécessaires, je vous demande un instant.	['ProductTarget']	[{'article': 'fond de teint make up for ever fluide tenseur'}, {'color': 'sable'}, {'color': 'claires'}, {'color': 'porcelaine'}, {'color': 'blanc'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'fond de teint make up for ever fluide tenseur'}]
	 Merci beaucoup cordialement	 porcelaine va être clair c'est certain,  vous avez la peau claire ?	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'article': 'fond de teint make up for ever fluide tenseur'}]
	 entre les deux pas blanche non plus   sable peut être bien qu'en pensez vous   il reste que 3 coloris sur votre page donc pas trop le choix et ce fond de teint est très agréable et léger	 alors sans hésiter je vous conseille le sable  nous avons de très bons retours sur cet article en particulier ?	['ProductTarget']	[{'color': 'blanche'}, {'color': 'sable'}, {'article': 'fond de teint'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'fond de teint make up for ever fluide tenseur'}, {'profile': 'mate'}]
	 merci beaucoup le coloris sable sur votre page fait clair aussi mais pas blanc2   bonne journée merci	 je suis à votre service, n'hésitez pas si vous avez d'autres questions ou besoin de conseils.	['goodbye', 'thanks']	[{'color': 'sable'}, {'color': 'clair'}, {'color': 'blanc'}]	[{'Store name': 'Parfum moins cher'}, {'article': 'fond de teint make up for ever fluide tenseur'}, {'profile': 'mate'}]
					
conv1540	bonjour je n'arrive pas à passer ma commande  _Email1_	 pourriez vous, s'il vous plaît, nous donner plus de renseignements concernant votre problème ? un message d'erreur s'affiche t il sur votre écran ? et si oui, quel est son code ? d'avance merci pour votre réponse.	['Login']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}]
	j'ai reçu un nouveau mot de passe je n'arrive pas à passer commande	 je vous invite à vous connecter à votre compte à l'aide du mot de passe : AZERTY adresse mail : _Email1_	['Login']	[{'pwd': 'mot de passe'}]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}, {'reinit': 'pwd'}]
	échec d'authentification  vous êtes là	 je vous invite à vous connecter à votre compte à l'aide du mot de passe : AZERTY adresse mail : _Email1_	['Login']	[{'connection': 'authentification'}]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}, {'reinit': 'pwd'}, {'reinit': 'yes'}]
	?	 avez vous réussi ?	['rien']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}, {'reinit': 'pwd'}, {'reinit': 'yes'}]
	?9  ?	 votre mot de passe a été réinitialisé Monsieur	['rien']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email1_'}, {'reinit': 'pwd'}, {'reinit': 'yes'}]
					
conv1546	 excusez moi, j'ai été pris par une autre activité. mon adresse est : _Email1_	 merci de me préciser votre demande je vous prie	['autre']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}]
	 j'ai reçu un mail avec le code pour bénéficier d'remise supplémentaire et cela ne fonctionne pas.   rien ne dit que cette remise n'est pas cumulable	 en effet aucune remise n'est cumulable  vous devez choisir la plus intéressante pour vous	['Discount']	[{'discount': 'code'}, {'discount': 'remise'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}]
	 alors votre offre est pas correcte car elle devrait le spécifier   étant donné que votre site comporte pratiquement que des articles avec remise	 les prix sont remisés mais le code fonctionne pour tout le site  vous ne pouvez pas cumuler plusieurs codes de remise par contre	['Discount', 'CustomerComplaint']	[{'website': 'site'}, {'discount': 'remise'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}]
	 non le code amour n'a pas fonctionné pour moi	 l'avez vous bien noté en majuscule	['Discount']	[{'code': 'amour'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}]
